Sample_ID	w1(pixels)	c1(pixels)	w2(pixels)	c2(pixels)	vf(Fraction)
000	4	55.5	4	47.5	0.5000
001	4	55.5	4	31.5	0.4000
002	4	55.5	4	15.5	0.6000
003	4	55.5	8	15.5	0.6000
004	4	55.5	8	7.5	0.5000
005	4	55.5	16	47.5	0.4000
006	4	55.5	16	39.5	0.4000
007	4	47.5	4	47.5	0.3000
008	4	47.5	4	39.5	0.4000
009	4	47.5	4	31.5	0.3000
010	4	47.5	8	55.5	0.5000
011	4	47.5	8	23.5	0.5000
012	4	47.5	8	15.5	0.6000
013	4	47.5	16	55.5	0.5000
014	4	47.5	16	47.5	0.5000
015	4	47.5	16	15.5	0.4000
016	4	47.5	16	15.5	0.6000
017	4	39.5	4	39.5	0.5000
018	4	39.5	4	23.5	0.5000
019	4	39.5	4	15.5	0.4000
020	4	39.5	4	15.5	0.6000
021	4	39.5	8	55.5	0.5000
022	4	39.5	8	39.5	0.5000
023	4	39.5	8	31.5	0.4000
024	4	39.5	8	15.5	0.4000
025	4	39.5	16	55.5	0.3000
026	4	39.5	16	47.5	0.3000
027	4	39.5	16	39.5	0.5000
028	4	31.5	4	55.5	0.6000
029	4	31.5	8	55.5	0.6000
030	4	31.5	8	47.5	0.4000
031	4	31.5	8	31.5	0.3000
032	4	31.5	16	47.5	0.4000
033	4	31.5	16	39.5	0.5000
034	4	31.5	16	31.5	0.6000
035	4	31.5	16	23.5	0.5000
036	4	31.5	16	23.5	0.6000
037	4	31.5	16	7.5	0.4000
038	4	31.5	16	7.5	0.5000
039	4	23.5	4	31.5	0.5000
040	4	23.5	8	55.5	0.4000
041	4	23.5	16	55.5	0.4000
042	4	23.5	16	31.5	0.6000
043	4	15.5	4	39.5	0.4000
044	4	15.5	4	31.5	0.3000
045	4	15.5	4	31.5	0.6000
046	4	15.5	4	15.5	0.3000
047	4	15.5	4	7.5	0.6000
048	4	15.5	8	55.5	0.4000
049	4	15.5	8	55.5	0.6000
050	4	15.5	8	39.5	0.4000
051	4	15.5	8	23.5	0.5000
052	4	15.5	8	15.5	0.4000
053	4	15.5	16	55.5	0.3000
054	4	15.5	16	7.5	0.4000
055	4	7.5	4	55.5	0.4000
056	4	7.5	4	39.5	0.5000
057	4	7.5	8	47.5	0.5000
058	4	7.5	8	47.5	0.6000
059	4	7.5	8	39.5	0.4000
060	4	7.5	8	39.5	0.5000
061	4	7.5	8	31.5	0.5000
062	4	7.5	8	23.5	0.3000
063	4	7.5	8	15.5	0.3000
064	4	7.5	16	55.5	0.6000
065	4	7.5	16	39.5	0.4000
066	8	55.5	4	47.5	0.3000
067	8	55.5	4	31.5	0.3000
068	8	55.5	4	31.5	0.4000
069	8	55.5	4	15.5	0.6000
070	8	55.5	16	55.5	0.3000
071	8	55.5	16	55.5	0.5000
072	8	55.5	16	15.5	0.3000
073	8	47.5	4	23.5	0.4000
074	8	47.5	4	7.5	0.3000
075	8	47.5	8	47.5	0.3000
076	8	47.5	8	7.5	0.6000
077	8	47.5	16	47.5	0.6000
078	8	47.5	16	31.5	0.3000
079	8	47.5	16	31.5	0.4000
080	8	47.5	16	23.5	0.6000
081	8	39.5	4	55.5	0.5000
082	8	39.5	4	39.5	0.4000
083	8	39.5	4	23.5	0.6000
084	8	39.5	4	15.5	0.4000
085	8	39.5	4	15.5	0.5000
086	8	39.5	4	7.5	0.4000
087	8	39.5	8	47.5	0.3000
088	8	39.5	8	7.5	0.5000
089	8	39.5	16	47.5	0.4000
090	8	39.5	16	39.5	0.4000
091	8	31.5	4	23.5	0.6000
092	8	31.5	4	7.5	0.3000
093	8	31.5	4	7.5	0.4000
094	8	31.5	8	39.5	0.4000
095	8	31.5	8	15.5	0.5000
096	8	31.5	16	15.5	0.6000
097	8	23.5	4	47.5	0.3000
098	8	23.5	4	47.5	0.4000
099	8	23.5	4	31.5	0.6000
100	8	23.5	4	23.5	0.3000
101	8	23.5	4	15.5	0.5000
102	8	23.5	8	47.5	0.5000
103	8	15.5	4	55.5	0.5000
104	8	15.5	4	31.5	0.5000
105	8	15.5	4	23.5	0.4000
106	8	15.5	4	7.5	0.5000
107	8	15.5	8	55.5	0.6000
108	8	15.5	8	47.5	0.6000
109	8	15.5	16	23.5	0.6000
110	8	7.5	4	55.5	0.4000
111	8	7.5	4	47.5	0.5000
112	8	7.5	4	47.5	0.6000
113	8	7.5	4	39.5	0.6000
114	8	7.5	4	7.5	0.3000
115	8	7.5	8	39.5	0.5000
116	8	7.5	8	31.5	0.4000
117	8	7.5	8	15.5	0.3000
118	8	7.5	16	55.5	0.4000
119	8	7.5	16	31.5	0.4000
120	16	55.5	4	47.5	0.5000
121	16	55.5	4	23.5	0.6000
122	16	55.5	4	15.5	0.4000
123	16	55.5	8	55.5	0.5000
124	16	55.5	8	47.5	0.4000
125	16	55.5	8	23.5	0.3000
126	16	55.5	8	23.5	0.4000
127	16	55.5	16	55.5	0.3000
128	16	55.5	16	47.5	0.3000
129	16	55.5	16	31.5	0.6000
130	16	47.5	4	47.5	0.5000
131	16	47.5	4	15.5	0.3000
132	16	47.5	4	7.5	0.4000
133	16	47.5	4	7.5	0.6000
134	16	47.5	8	31.5	0.3000
135	16	47.5	8	31.5	0.4000
136	16	47.5	8	15.5	0.3000
137	16	47.5	8	15.5	0.4000
138	16	47.5	8	15.5	0.5000
139	16	47.5	8	7.5	0.3000
140	16	47.5	16	55.5	0.3000
141	16	47.5	16	39.5	0.6000
142	16	47.5	16	31.5	0.5000
143	16	47.5	16	7.5	0.5000
144	16	39.5	4	39.5	0.5000
145	16	39.5	8	55.5	0.3000
146	16	39.5	8	31.5	0.4000
147	16	39.5	8	15.5	0.4000
148	16	39.5	8	7.5	0.3000
149	16	39.5	8	7.5	0.6000
150	16	39.5	16	55.5	0.5000
151	16	39.5	16	39.5	0.4000
152	16	31.5	4	55.5	0.4000
153	16	31.5	4	39.5	0.3000
154	16	31.5	4	39.5	0.4000
155	16	31.5	4	31.5	0.5000
156	16	31.5	8	39.5	0.5000
157	16	31.5	8	31.5	0.5000
158	16	31.5	8	23.5	0.4000
159	16	31.5	8	15.5	0.3000
160	16	31.5	8	15.5	0.5000
161	16	31.5	16	39.5	0.4000
162	16	31.5	16	39.5	0.5000
163	16	31.5	16	7.5	0.3000
164	16	23.5	4	47.5	0.3000
165	16	23.5	4	47.5	0.5000
166	16	23.5	4	31.5	0.4000
167	16	23.5	4	23.5	0.4000
168	16	23.5	4	7.5	0.4000
169	16	23.5	8	47.5	0.6000
170	16	23.5	8	31.5	0.5000
171	16	23.5	8	15.5	0.3000
172	16	23.5	8	15.5	0.6000
173	16	23.5	16	47.5	0.4000
174	16	23.5	16	47.5	0.5000
175	16	23.5	16	31.5	0.6000
176	16	23.5	16	15.5	0.4000
177	16	15.5	4	39.5	0.6000
178	16	15.5	4	31.5	0.5000
179	16	15.5	8	7.5	0.5000
180	16	15.5	8	7.5	0.6000
181	16	15.5	16	55.5	0.3000
182	16	15.5	16	55.5	0.5000
183	16	15.5	16	47.5	0.4000
184	16	15.5	16	31.5	0.6000
185	16	15.5	16	15.5	0.3000
186	16	7.5	8	47.5	0.4000
187	16	7.5	8	31.5	0.3000
188	16	7.5	8	31.5	0.4000
189	16	7.5	8	15.5	0.4000
190	16	7.5	16	55.5	0.5000
191	16	7.5	16	55.5	0.6000
192	16	7.5	16	47.5	0.6000
193	16	7.5	16	39.5	0.6000
194	16	7.5	16	31.5	0.3000
195	16	7.5	16	31.5	0.6000
196	16	7.5	16	23.5	0.5000
197	16	7.5	16	15.5	0.3000
198	16	7.5	16	15.5	0.5000
199	16	7.5	16	7.5	0.5000
